Organism,Count
Homo sapiens (Human),815
Arabidopsis thaliana (Mouse-ear cress),717
Mus musculus (Mouse),452
Caenorhabditis elegans,346
Bos taurus (Bovine),195
Rattus norvegicus (Rat),160
Drosophila melanogaster (Fruit fly),159
Danio rerio (Zebrafish) (Brachydanio rerio),102
Xenopus laevis (African clawed frog),47
Gallus gallus (Chicken),46
Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),42
Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),23
Sus scrofa (Pig),22
Canis lupus familiaris (Dog) (Canis familiaris),22
Oryctolagus cuniculus (Rabbit),8
Pan troglodytes (Chimpanzee),6
Ovis aries (Sheep),5
Felis catus (Cat) (Felis silvestris catus),4
Cavia porcellus (Guinea pig),4
Mesocricetus auratus (Golden hamster),3
Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri),3
Patiria pectinifera (Starfish) (Asterina pectinifera),3
Equus caballus (Horse),3
Schistosoma mansoni (Blood fluke),3
Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis),3
Macaca mulatta (Rhesus macaque),3
Oryzias latipes (Japanese rice fish) (Japanese killifish),2
Schistosoma japonicum (Blood fluke),2
Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),2
Myxine glutinosa (Atlantic hagfish),2
Tetronarce californica (Pacific electric ray) (Torpedo californica),2
Ailuropoda melanoleuca (Giant panda),2
Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops),2
Leucoraja erinacea (Little skate) (Raja erinacea),2
Callithrix jacchus (White-tufted-ear marmoset),2
Carassius auratus (Goldfish),2
Lycodon semicarinatus (Ryukyu odd-tooth snake) (Eumesodon semicarinatus),2
Mus pahari (Gairdner's shrew-mouse) (Coelomys pahari),1
Latimeria chalumnae (Coelacanth),1
Anser caerulescens (Snow goose) (Chen caerulescens),1
Artemia salina (Brine shrimp),1
Asterias rubens (Common European starfish) (Asterias vulgaris),1
Tetraodon fluviatilis (Green pufferfish) (Chelonodon fluviatilis),1
Bison bison (American bison) (Bos bison),1
Macaca radiata (Bonnet macaque),1
Canis lupus (Gray wolf),1
Amia calva (Bowfin),1
Salmo salar (Atlantic salmon),1
Chelonia mydas (Green sea-turtle) (Chelonia agassizi),1
Petromyzon marinus (Sea lamprey),1
Pelomedusa subrufa (African side-necked turtle),1
Lymnaea stagnalis (Great pond snail) (Helix stagnalis),1
Dicentrarchus labrax (European seabass) (Morone labrax),1
Elephas maximus (Indian elephant),1
Episoriculus fumidus (Taiwan brown-toothed shrew) (Soriculus fumidus),1
Fasciola hepatica (Liver fluke),1
Gorilla gorilla gorilla (Western lowland gorilla),1
Notomys alexis (Spinifex hopping mouse),1
Macaca fuscata fuscata (Japanese macaque),1
